Date,Name,Year,Letterboxd URI,Rating
2022-04-25,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2022-04-25,Parasite,2019,https://boxd.it/hTha,4.5
2022-04-25,Eighth Grade,2018,https://boxd.it/hDMG,5
2022-04-25,Coco,2017,https://boxd.it/bYJQ,3
2022-04-25,Your Name.,2016,https://boxd.it/cUqs,4
2022-04-25,Whiplash,2014,https://boxd.it/7bQA,4.5
2022-04-25,Inception,2010,https://boxd.it/1skk,5
2022-04-25,The Dark Knight,2008,https://boxd.it/2b0k,5
2022-04-25,No Country for Old Men,2007,https://boxd.it/21ew,4
2022-04-25,The Departed,2006,https://boxd.it/28MA,4.5
2022-04-25,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4.5
2022-04-25,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2022-04-25,The Pianist,2002,https://boxd.it/2aqc,2.5
2022-04-25,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2022-04-25,Requiem for a Dream,2000,https://boxd.it/29VI,4
2022-04-25,Fight Club,1999,https://boxd.it/2a9q,4
2022-04-25,The Iron Giant,1999,https://boxd.it/1Wow,3
2022-04-25,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2022-04-25,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2022-04-25,Princess Mononoke,1997,https://boxd.it/2b4w,3
2022-04-25,Toy Story,1995,https://boxd.it/29qA,3.5
2022-04-25,Heat,1995,https://boxd.it/2bg8,3
2022-04-25,Se7en,1995,https://boxd.it/29zs,4
2022-04-25,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2022-04-25,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2022-04-25,The Lion King,1994,https://boxd.it/201Q,3
2022-04-25,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2022-04-25,The Shining,1980,https://boxd.it/29Nu,4
2022-04-25,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-04-25,Alien,1979,https://boxd.it/2awY,3.5
2022-04-25,Star Wars,1977,https://boxd.it/72s,4.5
2022-04-25,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2022-04-25,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3
2022-04-25,The Batman,2022,https://boxd.it/eDGs,3
2022-04-25,Interstellar,2014,https://boxd.it/4VZ8,5
2022-04-25,Gone Girl,2014,https://boxd.it/6hQu,5
2022-04-25,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,0.5
2022-04-25,American History X,1998,https://boxd.it/2bdo,4.5
2022-06-01,Come and See,1985,https://boxd.it/1w9q,4.5
2022-06-01,Perfect Blue,1997,https://boxd.it/1W7A,4
2022-06-01,The Thing,1982,https://boxd.it/294O,3.5
2022-06-01,Casablanca,1942,https://boxd.it/2aG0,2
2022-06-01,Akira,1988,https://boxd.it/2b1i,3.5
2022-06-01,Prisoners,2013,https://boxd.it/4E5i,3.5
2022-06-01,Back to the Future,1985,https://boxd.it/2b8e,1.5
2022-06-01,The Truman Show,1998,https://boxd.it/18U8,4
2022-06-01,The Matrix,1999,https://boxd.it/2a1m,5
2022-06-01,Django Unchained,2012,https://boxd.it/2cCk,4.5
2022-06-01,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,3
2022-06-01,Dead Poets Society,1989,https://boxd.it/2aSg,3
2022-06-01,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2022-06-01,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2022-06-01,Pan's Labyrinth,2006,https://boxd.it/28No,3.5
2022-06-01,Ratatouille,2007,https://boxd.it/27ww,3.5
2022-06-01,WALL·E,2008,https://boxd.it/1VEo,4
2022-06-01,The Prestige,2006,https://boxd.it/293w,3.5
2022-06-01,Reservoir Dogs,1992,https://boxd.it/2agc,4
2022-06-01,Forrest Gump,1994,https://boxd.it/728,4
2022-06-01,The Green Mile,1999,https://boxd.it/2agG,4
2022-06-01,A Silent Voice,2016,https://boxd.it/d99c,4
2022-06-01,Up,2009,https://boxd.it/1OEc,3
