Name,Rating,Elo
Avengers: Endgame,3.5,1095.9234927482828
Snowden,3.0,1086.385505418706
WALL·E,4.0,1084.3850407032692
Twelve Monkeys,3.5,1083.0103241751667
Toy Story,3.5,1082.4791497393785
Catch Me If You Can,4.0,1082.244158493948
Johnny English,3.0,1077.177679224642
Kick-Ass,4.0,1076.3539273986653
District 9,3.5,1074.736916003852
Perfect Blue,4.0,1073.6361665843197
The Truman Show,4.0,1073.160183904114
The Social Network,4.5,1072.3420961303193
X-Men: Days of Future Past,4.0,1072.2576472289784
Thor: Ragnarok,2.5,1071.9365466950678
The Hateful Eight,4.0,1069.6833698765297
The Avengers,3.5,1065.792795728635
Training Day,4.0,1062.2775058977131
Spider-Man: Into the Spider-Verse,3.5,1061.8117552273088
The Matrix,5.0,1061.795512661397
Venom,2.5,1060.5907910887129
Interstellar,5.0,1060.4770267474714
Whiplash,4.5,1060.35076330948
Come and See,4.5,1059.670597210565
Django Unchained,4.5,1059.6228817453834
A Clockwork Orange,4.5,1059.2188939326609
The Incredibles,4.0,1059.141052821789
The Imitation Game,3.5,1059.041003606722
Everything Everywhere All at Once,4.5,1058.6694440114688
A Silent Voice,4.0,1058.5117864950926
The Empire Strikes Back,4.5,1058.466106377117
Star Wars: Episode III - Revenge of the Sith,4.0,1058.3746542076851
Shutter Island,4.5,1058.3153208413376
Dunkirk,3.5,1058.1152650832316
Bird Box,2.5,1057.9162381720446
The Prestige,3.5,1057.412923016595
Pulp Fiction,4.5,1057.138678974604
Requiem for a Dream,4.0,1056.6918461019975
Jurassic Park,3.5,1056.2762051726013
Klaus,4.5,1052.0212012174482
John Wick,3.5,1051.9399817982985
Oldboy,3.5,1049.332731520353
Kill Bill: Vol. 1,5.0,1049.2691542320215
Pan's Labyrinth,3.5,1048.6027376793484
Chronicle,1.5,1047.908207558242
Inglourious Basterds,4.0,1047.819384823872
Captain America: The Winter Soldier,4.5,1047.8072454728988
La La Land,4.0,1047.2074502677283
The Hunger Games,4.0,1047.0529125332791
Good Will Hunting,4.5,1046.5612260339533
The Wolf of Wall Street,4.0,1046.527592022291
Gran Torino,3.5,1046.5026303998127
Terminator 2: Judgment Day,4.0,1046.471534626353
2001: A Space Odyssey,3.0,1046.4705787325945
Se7en,4.0,1046.4392015954454
The Dark Knight Rises,3.5,1045.9717211060076
Memento,4.0,1045.9478271661762
Anchorman: The Legend of Ron Burgundy,2.5,1045.861734152009
American History X,4.5,1045.8591037313051
Nope,4.0,1045.8357828511917
Kick-Ass 2,3.0,1045.8278203282016
Pitch Perfect,3.5,1045.3434371444955
The Lord of the Rings: The Two Towers,4.5,1045.2739384614372
Monsters University,3.0,1045.1869010314474
Eighth Grade,5.0,1044.763040740875
The Hunt,4.5,1044.4774632865908
No Country for Old Men,4.0,1044.1703360813408
Jumper,3.5,1044.0910569907828
Finding Nemo,4.0,1043.922900005516
V for Vendetta,3.5,1043.8280160333525
Batman Begins,3.0,1043.6894775460282
Bad Boys,3.0,1043.6772152677488
Avatar,2.5,1043.1790548068195
Yes Man,3.0,1042.5771272688794
Contact,4.0,1042.458353876532
Spider-Man,3.0,1042.0307572864203
Pirates of the Caribbean: On Stranger Tides,2.5,1041.6588341721638
Meet the Fockers,3.0,1040.0598508981934
Gone Girl,5.0,1039.918744187968
The Dark Knight,5.0,1039.3635891996212
Meet the Parents,2.5,1039.0983142601524
Parasite,4.5,1038.8634891673355
Cloverfield,3.0,1038.1791482440417
National Treasure,2.5,1036.8784402423967
Avengers: Age of Ultron,3.0,1034.304368328841
Kill Bill: Vol. 2,4.0,1033.975231479658
Rogue One: A Star Wars Story,3.0,1033.3036982801027
Skyfall,3.0,1033.2959242905038
Forrest Gump,4.0,1033.1204614340386
Love Actually,3.0,1032.7279672405723
"Monsters, Inc.",5.0,1032.553674983442
Coraline,4.5,1032.4785217914014
Casino Royale,4.0,1032.0307976969978
The Shawshank Redemption,5.0,1032.030729752709
Slumdog Millionaire,4.0,1032.0
Indiana Jones and the Temple of Doom,3.5,1032.0
Arrival,4.0,1031.9661669788793
Liar Liar,3.0,1031.941371075487
I Am Legend,4.0,1031.9311522634682
The Killing of a Sacred Deer,3.0,1031.836613421793
The Intouchables,4.0,1031.817716973908
A Beautiful Day in the Neighborhood,4.0,1031.2976013366472
The Worst Person in the World,4.5,1031.263693206478
The Road,4.0,1031.263693206478
Spider-Man: Homecoming,3.5,1031.263693206478
Pirates of the Caribbean: The Curse of the Black Pearl,3.0,1031.2320362040102
Black Panther: Wakanda Forever,3.0,1030.838957768638
Ice Age,3.5,1030.785512306588
Tinker Tailor Soldier Spy,4.0,1030.6282758951806
Megamind,4.0,1030.5612260339533
The Pianist,2.5,1030.5612260339533
The Lord of the Rings: The Fellowship of the Ring,4.5,1030.5304984710244
Donnie Darko,4.5,1030.5303846749791
The Green Mile,4.0,1030.4790763097485
The Cabin in the Woods,3.0,1030.4529981167493
Mission: Impossible - Ghost Protocol,2.5,1030.023160529828
Her,4.5,1029.9535380514656
American Pie 2,2.0,1029.948909582569
Get Out,4.0,1029.897228852709
Wreck-It Ralph,3.5,1029.4927162638623
GoodFellas,4.0,1029.2234563427978
The Lobster,3.0,1029.2199047776749
Spider-Man: No Way Home,3.5,1028.7965837953968
The Mask,3.5,1028.5444132805967
Harry Potter and the Deathly Hallows: Part 2,3.5,1028.543811798838
From Dusk Till Dawn,2.5,1028.511241396079
As Good as It Gets,3.0,1028.4624152876304
Terminator Salvation,2.5,1028.1870270208158
Coco,3.0,1028.0525786967844
Saving Private Ryan,4.5,1027.9811911962631
I Am Number Four,2.5,1027.8682652930358
Passengers,3.0,1027.7922226287149
Mission: Impossible - Fallout,2.5,1027.176345463816
Edge of Tomorrow,3.5,1026.7889708608766
The Thing,3.5,1026.6236869848897
The Wolverine,2.5,1026.516490204561
Fantastic Beasts and Where to Find Them,2.5,1026.4253815298275
The Blind Side,3.5,1025.59297760141
Akira,3.5,1021.9763382019928
John Wick: Chapter 2,2.5,1020.563329706992
Still Alice,3.0,1020.0665678509408
The Pursuit of Happyness,4.0,1019.8471596359038
Spider-Man: Far From Home,3.5,1019.3433253944636
How to Train Your Dragon,4.0,1018.694328073698
Doctor Strange,2.5,1018.0801073571316
Paul Blart: Mall Cop,2.0,1017.9753452284734
Hellboy,2.5,1017.953220466124
The Intern,3.5,1017.883375216817
Spider-Man 2,4.0,1017.7888640651568
Primal Fear,3.5,1017.3099308553604
Ant-Man and the Wasp,2.5,1017.1259195202204
Ghost in the Shell,3.5,1016.705370334074
Ad Astra,2.5,1016.703501986672
Halloween,2.0,1016.7024671725246
The Shining,4.0,1016.6380054299724
Blade Runner,3.0,1016.5699827796312
Looper,4.0,1016.3900623946416
The Greatest Showman,2.5,1016.1869971930561
Ted,3.0,1016.0897835511856
In Time,2.0,1016.0589526106112
Home Alone,3.5,1016.0339081301692
About a Boy,2.5,1016.0323497647142
National Treasure: Book of Secrets,3.0,1016.0
Kingsman: The Secret Service,2.0,1016.0
Deadpool,3.5,1016.0
Blade Runner 2049,4.5,1016.0
A Star Is Born,2.5,1016.0
The Bourne Identity,3.0,1016.0
Black Panther,2.5,1015.9968340773802
Reservoir Dogs,4.0,1015.9648855862524
Scream,2.0,1015.9307793317232
Monster House,2.5,1015.8395377121404
The Departed,4.5,1015.3282203985794
Alita: Battle Angel,2.5,1015.300210967224
Wonder Woman,2.5,1015.2976013366472
The Town,4.0,1015.2975328274754
Pirates of the Caribbean: Dead Man's Chest,3.0,1015.2975328274754
Pitch Perfect 2,2.5,1015.265251433626
Your Name.,4.0,1015.263693206478
Rango,2.5,1015.263693206478
The Silence of the Lambs,4.0,1015.263693206478
The Usual Suspects,4.5,1015.2632493421418
Zombieland,3.0,1015.2621407825316
The Perks of Being a Wallflower,4.0,1015.196330372886
